Open time,BTCBUSD_Open,BTCBUSD_High,BTCBUSD_Low,BTCBUSD_Close,BTCBUSD_Volume,ETHBUSD_Open,ETHBUSD_High,ETHBUSD_Low,ETHBUSD_Close,ETHBUSD_Volume,BNBBUSD_Open,BNBBUSD_High,BNBBUSD_Low,BNBBUSD_Close,BNBBUSD_Volume
2020-03-18,5335.61000000,5450.00000000,5020.81000000,5412.82000000,8949.31747100,116.14000000,118.85000000,110.15000000,118.56000000,36056.21437000,10.31800000,10.47280000,9.68750000,10.42480000,96900.71000000
2020-03-19,5412.47000000,6421.46000000,5268.13000000,6182.87000000,8638.79503300,118.70000000,143.50000000,115.80000000,136.81000000,42137.92224000,10.42500000,12.72000000,10.26660000,12.31060000,129206.74000000
2020-03-20,6181.63000000,6930.11000000,5667.71000000,6208.80000000,10493.60438700,136.86000000,153.00000000,116.50000000,133.50000000,45292.94970000,12.30640000,13.68420000,10.40120000,11.90130000,148590.70000000
2020-03-21,6211.30000000,6465.00000000,5869.65000000,6198.75000000,8647.77617600,133.59000000,137.82000000,125.85000000,132.78000000,29888.91305000,11.92130000,12.43100000,11.25810000,12.08000000,77039.85000000
2020-03-22,6195.33000000,6413.72000000,5744.54000000,5818.63000000,8248.26939900,132.70000000,137.35000000,121.11000000,122.42000000,27343.33121000,12.07630000,12.48520000,11.02950000,11.18730000,97593.97000000
2020-03-23,5820.02000000,6622.32000000,5689.28000000,6493.87000000,8358.45083000,122.32000000,138.09000000,119.50000000,136.39000000,33399.03112000,11.16250000,12.54520000,10.88260000,12.23000000,68353.18000000
2020-03-24,6493.88000000,6856.60000000,6402.04000000,6762.28000000,5588.45639300,136.48000000,144.00000000,133.00000000,139.01000000,44486.82093000,12.22690000,12.62590000,11.94760000,12.43940000,61980.05000000
2020-03-25,6762.61000000,6979.00000000,6475.20000000,6691.16000000,5156.32166100,138.75000000,142.80000000,133.00000000,136.51000000,31606.07594000,12.43390000,12.71660000,12.10200000,12.36000000,44003.63000000
2020-03-26,6694.17000000,6793.87000000,6530.00000000,6754.51000000,3383.31953200,136.39000000,140.06000000,133.50000000,138.81000000,20236.95970000,12.36000000,13.28210000,12.20770000,13.25200000,80849.51000000
2020-03-27,6756.28000000,6868.42000000,6274.34000000,6366.98000000,3832.71502200,138.87000000,141.72000000,130.00000000,131.54000000,18270.95569000,13.23460000,13.40000000,12.12240000,12.36710000,40210.32000000
2020-03-28,6368.42000000,6368.42000000,6032.22000000,6251.00000000,3958.72346700,131.33000000,133.21000000,125.00000000,131.24000000,16479.34042000,12.34080000,12.38980000,11.66200000,12.19410000,55745.92000000
2020-03-29,6251.14000000,6276.79000000,5871.51000000,5883.13000000,3152.11983100,131.33000000,132.11000000,123.90000000,124.32000000,13111.77542000,12.22990000,12.23260000,11.27570000,11.30000000,41126.60000000
2020-03-30,5882.97000000,6617.48000000,5860.20000000,6405.92000000,5034.64891000,124.71000000,135.51000000,124.08000000,132.31000000,18875.34925000,11.30000000,12.45100000,11.26830000,12.14690000,46374.52000000
2020-03-31,6405.93000000,6529.97000000,6337.73000000,6427.47000000,3471.21465900,132.31000000,135.44000000,130.58000000,133.06000000,16986.36962000,12.14370000,12.75390000,12.14230000,12.57140000,54000.68000000
2020-04-01,6427.83000000,6697.94000000,6159.86000000,6664.30000000,4574.45260300,133.22000000,137.14000000,128.97000000,136.18000000,16444.47642000,12.57140000,12.76080000,12.00000000,12.75000000,83426.63000000
2020-04-02,6664.24000000,7232.96000000,6578.95000000,6797.85000000,7721.92973400,136.19000000,150.20000000,135.51000000,141.40000000,32024.16868000,12.74460000,13.73430000,12.57000000,13.05520000,67322.50000000
2020-04-03,6797.85000000,7052.50000000,6612.64000000,6739.29000000,6605.50311900,141.34000000,146.93000000,138.00000000,141.32000000,30975.99416000,13.02950000,13.60560000,12.93870000,13.40410000,54956.51000000
2020-04-04,6739.43000000,7003.98000000,6660.95000000,6871.10000000,5188.74658100,141.31000000,146.55000000,139.15000000,144.34000000,11667.55985000,13.39700000,14.13740000,13.20000000,13.79970000,60783.35000000
2020-04-05,6871.07000000,6907.00000000,6681.13000000,6782.53000000,3805.44571000,144.55000000,145.86000000,140.78000000,142.98000000,6868.97198000,13.80140000,13.97570000,13.41630000,13.71430000,23740.11000000
2020-04-06,6783.03000000,7363.41000000,6775.00000000,7339.31000000,7022.34158200,142.92000000,172.00000000,142.86000000,171.54000000,31255.26637000,13.69090000,15.22550000,13.64380000,15.18210000,113516.42000000
2020-04-07,7340.23000000,7465.10000000,7078.76000000,7199.79000000,6226.07955900,171.47000000,176.32000000,162.33000000,164.64000000,33523.56981000,15.20140000,15.51380000,14.23490000,14.69410000,89019.96000000
